clubQid,name,country,decision,osmRef,reviewed,reason
Q74127553,Înainte Modelu,RO,rejected,,2026-09-26,"Resolved 2026-09-26 as a probable thin duplicate of Q55864953 ACS Înainte Modelu (shape 1): same name, same Liga III tag from 2014, 0 sitelinks and no P159, where Q55864953 has an English article and P159 Modelu and is the item the 2026-27 Liga III article links. The ground proposed for it (node/409460803) is Dunărea Călărași's own pin and is wrong whichever item is canonical. Q55864953 has been placed at Stadionul Vasile Enache. A skip row for this item is Alexandru's call"
Q18539440,CSL Ștefăneștii de Jos,RO,rejected,way/1242277212,2026-09-26,"Resolved 2026-09-26: a mismatch, not a shared ground. 'Stadion Afumați' is CS Afumați's Stadionul Comunal (Wikidata Q25208720, same point). CSL Ștefănești plays at Stadionul Dumitru Mătărău in Ștefăneștii de Jos (2026-27 Liga II stadiums table, both club infoboxes). That ground's Wikidata item Q28230311 has no coordinates and no Wikipedia article gives any, so the club stays unplaced until a second source places the Dumitru Mătărău"
Q130235269,Sparta Râmnicu Vâlcea,RO,rejected,,2026-09-26,"Resolved 2026-09-26: the club no longer exists. English Wikipedia 'ATCS Sparta Râmnicu Vâlcea' gives dissolved 2025 and 2024-25 Liga III Seria VIII, 10th (relegated); no 2026-27 roster names it. It never played at the Zăvoi either: its last ground was Stadionul Treapt in Horezu, temporarily. The Hermannstadt pattern, not a coordinate question"
Q55584106,Sănătatea Darabani,RO,rejected,,2026-09-26,"Resolved 2026-09-26: not a club at any tracked tier. English Wikipedia 'CSO Viitorul Darabani' (Q113573276) gives the club founded 1968 as Sănătatea Darabani and 2019 as Sporting Darabani, so this 0-sitelink item is very likely the same club's older identity. The club was excluded from 2023-24 Liga III and is now in Liga V; no 2026-27 roster names either item. Which of the two items is canonical is Alexandru's call; neither is on the map"
Q113573276,Viitorul Darabani,RO,rejected,,2026-09-26,"Resolved 2026-09-26: the club plays in Liga V (English Wikipedia infobox), below every tracked tier, after being excluded from 2023-24 Liga III; no 2026-27 roster names it. Its Liga III tag on Wikidata is stale. Its ground per the infobox is Chirică Pușcașu, which may or may not be the proposed Stadionul Orășenesc Darabani - not checked, because the club should not be placed at tier 3 either way. See also Q55584106"
Q99448017,CS Sporting Juniorul Vaslui,RO,held,way/256557708,2026-09-26,"Held 2026-09-26: the ground is plausibly right - the Vaslui Municipal Stadium article lists a Sporting Vaslui as a tenant - but no 2026-27 roster names this item, it has 0 sitelinks, and placing it would draw it at tier 3 on a Liga III tag from 2020 with nothing current behind it. CSM Vaslui Q118904605, which the roster does name, has been placed on the same ground"
Q20647345,Gilortul Târgu Cărbunești,RO,rejected,,2026-09-26,"Whole club, 2026-09-26. The 2026-27 Liga III article lists it under 'Relegated to Liga IV' and its English infobox gives 2025-26 Liga III Seria VI, 12th (relegated), league Liga IV - below every tracked tier. Its preferred Liga III tag on Wikidata is stale. The new pitch proposal (way/337616342, a pitch named only 'Teren de Fotbal') was NOT applied: placing it would draw a Liga IV club at tier 3. The infobox ground is Stadionul Cristinel Răducan, if the club ever returns. Alexandru asked for this proposal to be applied; it was not, for that reason"
Q130234791,Șoimii Gura Humorului,RO,rejected,,2026-09-26,"Whole club, 2026-09-26. The 2026-27 Liga III article, Team changes: 'Șoimii Gura Humorului, Bucovina Rădăuți, Victoria Traian and Petrolul Ploiești II had withdrawn and were formally excluded by the FRF.' Shape 6 in CLAUDE.md, with Sparta Râmnicu Vâlcea and CSM Bacău: no P576 on Q130234791. Two further things found: the article links a DIFFERENT item, Q140089397 'FC Șoimii Gura Humorului', and that article gives the ground as Stadionul Areni (Suceava), not the proposed Stadionul Tineretului (way/1147687747). Q130234791 has 0 sitelinks and P31 'association football team'; whether it is the same club as Q140089397 was not settled"
Q66424148,Lotus Băile Felix,RO,rejected,node/1493556659,2026-09-26,"Ground only, 2026-09-26, on Alexandru's instruction: 'Teren Minifotbal' is a small-sided pitch, not a full-sized club's ground. The club itself is fine - named by the 2026-27 Liga III article (Series VIII), no P576 - and its English infobox gives the ground as Stadionul Comunal (Sânmartin). Not placed: no position for that ground was read"
Q339492,Anglo-American Club Zürich,CH,rejected,,2026-09-26,"Resolved before it was ever proposed, 2026-09-26: the stale-active-club pattern (shape 6), found by looking for it rather than by chance. The club no longer exists - its English Wikipedia infobox gives founded c. 1884, dissolved 1900, ground the Allmend in Zurich. Wikidata still carries a normal-rank P118 Super League (Q202699) on Q339492 and no P576, so the club query keeps it at tier 1; it has no coordinates, so it is dropped at the coordinates gate and would be offered as a coordinate proposal on the next monthly run. Neither complete 2026-27 article (Super League 12 of 12, Challenge League 10 of 10) names it. A whole-club rejection, so the tool proposes nothing for it"
Q689889,SV Horn,AT,rejected,,2026-09-26,"Resolved before it was ever proposed, 2026-09-26: the close relative of shape 6 - alive, but below every tracked tier. Wikidata carries a normal-rank P118 2. Liga (Q650236) on Q689889 and no P576, so the club query keeps it at tier 2; it has no coordinates, so it is dropped at the coordinates gate and would be offered as a coordinate proposal on the next monthly run. Neither complete 2026-27 article lists it (Bundesliga 12 of 12, 2. Liga 16 rows all accounted for), read on a runner 2026-09-26. Its English Wikipedia infobox: League: Austrian Regionalliga East, 2025-26 6th of 17. A whole-club rejection, so the tool proposes nothing for it"
Q15137936,SV Lafnitz,AT,rejected,,2026-09-26,"Resolved before it was ever proposed, 2026-09-26: the close relative of shape 6 - alive, but below every tracked tier. Wikidata carries a normal-rank P118 2. Liga (Q650236) on Q15137936 and no P576, so the club query keeps it at tier 2; it has no coordinates, so it would be offered as a coordinate proposal on the next monthly run. Neither complete 2026-27 article lists it (Bundesliga 12 of 12, 2. Liga 16 rows all accounted for), read on a runner 2026-09-26. Its English Wikipedia infobox: League: Austrian Regionalliga South, 2025-26 Regionalliga Central 8th of 16, current season the 2026-27 Austrian Regionalliga. A whole-club rejection"
Q581990,Wiener AC,AT,rejected,,2026-09-26,"Resolved before it was ever proposed, 2026-09-26: shape 6. Wikidata carries a normal-rank P118 Bundesliga (Q219592), undated, on Q581990 and no P576, so the club query keeps it at tier 1; it has no coordinates, so it would be offered as a coordinate proposal on the next monthly run. Neither complete 2026-27 article lists it (Bundesliga 12 of 12, 2. Liga 16 rows all accounted for), read on a runner 2026-09-26. Its English Wikipedia infobox: 'Dissolved: No longer competes in football competitions'; the item is typed sports club, a multi-sport club whose football section is gone. A whole-club rejection"
