clubQid,club,team,scope,opponentQid,topic,season,rule,confidence,basis,ref,sourceRefs,source,checked,note
Q15786,1. FC Nürnberg,men,derby-home,Q153539,away-end,2024-25,The away end (blocks 25a-25d) is sold by Fürth only to Fürth season-ticket holders. Not accessible to outsiders.,confirmed,published,N-11,N11,https://sgf1903.de/news/profis/tickets-fuer-das-frankenderby,2026-09-23,"Source is Fürth's own site, 18 Feb 2025, for the March 2025 derby, hence 2024-25."
Q15786,1. FC Nürnberg,men,derby-home,Q153539,capacity,2024-25,"Capacity is below the nominal 50,000: about 47,300 in March 2025 (about 800 Südkurve seats covered since April 2023, about 2,000 held back by the club).",confirmed,published,N-12,N9;N12,https://fcn.de/news/artikel/fuer-stadionbesucher-orga-hinweise-zum-275-frankenderby/;https://nordbayern.de/sport/ticketinfos-zum-frankenderby-restkarten-zuschauerrekord-und-das-quasi-ausverkaufte-stadion-1.14611371,2026-09-23,"The map's club layer still says 50,000 for the Max-Morlock-Stadion. That figure is not changed here: a derby-day configuration is not the ground's capacity. The December 2025 attendance from the same PDF item is in club-ticket-demand.csv."
Q15786,1. FC Nürnberg,men,derby-home,Q153539,box-office,2025-26,The day-ticket office in the service centre was closed at the last home derby.,confirmed,published,N-13,N9,https://fcn.de/news/artikel/fuer-stadionbesucher-orga-hinweise-zum-275-frankenderby/,2026-09-23,
Q15786,1. FC Nürnberg,men,derby-home,Q153539,price-category,2026-27,"The derby is very likely price category A. The club labels Kaiserslautern A and Wolfsburg B, but no source names the derby's category.",inferred,observed-past-cycle,N-14,N3,https://fcn.de/news/artikel/tickets-fuer-heimspiele-des-1-fcn-hier-laeuft-der-vorverkauf/,2026-09-23,"BASIS IS FORCED BY THE MAPPING, AND IT FITS BADLY HERE. Every [INFERENCE] item maps to inferred/observed-past-cycle, but this one is reasoned from the club's labels for two other 2026-27 fixtures, not from a past derby. Read it as 'reasoned from a pattern', not 'seen last season'."
Q15786,1. FC Nürnberg,men,derby-home,Q153539,free-sale-reached,2025-26,Whether any tickets reached free sale in December 2025 is not confirmed.,unverified,unknown,N-17,,,2026-09-23,An open question. The December 2025 sell-out itself is confirmed and sits in club-ticket-demand.csv; this is only about which phase it happened in.
Q15786,1. FC Nürnberg,men,derby-home,Q153539,sales-mechanism,2025-26,No fixed cutoff and no ballot: phases run until stock is gone.,confirmed,published,N-18,N14,https://fcn.de/news/artikel/derby-am-sonntag-rueckrundenauftakt-samstags/,2026-09-23,"Stated in the PDF about the December 2025 derby. club-tickets.csv keeps cutoff at unknown for the club as a whole, because the PDF says this about the derby precedent rather than about every home game."
Q15786,1. FC Nürnberg,men,general,,resale-platform,,"Legal resale is only via the club's Ticketbörse, at face value. The club can electronically block resold tickets.",confirmed,published,N-21,N7;N16,https://fcn.de/tickets/heimspiele/;https://fcn.de/fileadmin/fcn/red/saison_26/Downloads/pdf/Preislisten_26-27.pdf;https://fcn.de/tickets/heimspiele/schwarzmarkttickets/,2026-09-23,
Q15786,1. FC Nürnberg,men,general,,resale-price-cap,,"The terms ban Kleinanzeigen, Facebook, viagogo, StubHub etc. and cap private handovers at face value +10%.",confirmed,published,N-21,N7;N16,https://fcn.de/tickets/heimspiele/;https://fcn.de/fileadmin/fcn/red/saison_26/Downloads/pdf/Preislisten_26-27.pdf;https://fcn.de/tickets/heimspiele/schwarzmarkttickets/,2026-09-23,"Two caps, not one: the club's own Ticketbörse sells at face value; a private handover may go up to face value +10%. A single 'resale-observed' price row could not have carried either."
Q15786,1. FC Nürnberg,men,derby-home,Q153539,resale-prices,,No credible data on actual secondary-market prices for this derby.,unverified,unknown,N-22,,,2026-09-23,"A gap, so club-ticket-prices.csv has no resale-observed row for this fixture."
Q631,FC Internazionale Milano,men,general,,sales-channel,,The only authorised sales channel is inter.it/tickets (online).,confirmed,published,I-1,I2;I4,https://inter.it/en/news/tickets-inter-milan-derby-serie-a-2025-2026;https://inter.it/en/news/tickets-inter-monza-inter-napoli-serie-a-26-27,2026-09-23,"Q-ids Q631 (Inter) and Q1543 (AC Milan) were written from memory: this session could not reach wikidata.org (egress 403) and no Italian club file exists yet, so nothing in the repo confirms them. Verify both before anything joins on them."
Q631,FC Internazionale Milano,men,general,,access,,Normal matches: general sale open to anyone with an inter.it account.,confirmed,published,I-2,I3;I4,https://inter.it/en/faq;https://inter.it/en/news/tickets-inter-monza-inter-napoli-serie-a-26-27,2026-09-23,"Q-ids Q631 (Inter) and Q1543 (AC Milan) were written from memory: this session could not reach wikidata.org (egress 403) and no Italian club file exists yet, so nothing in the repo confirms them. Verify both before anything joins on them."
Q631,FC Internazionale Milano,men,general,,ticket-types,,Ticket types: BASE (paid transfer) or PLUS (one transfer included).,confirmed,published,I-2,I3;I4,https://inter.it/en/faq;https://inter.it/en/news/tickets-inter-monza-inter-napoli-serie-a-26-27,2026-09-23,"Q-ids Q631 (Inter) and Q1543 (AC Milan) were written from memory: this session could not reach wikidata.org (egress 403) and no Italian club file exists yet, so nothing in the repo confirms them. Verify both before anything joins on them."
Q631,FC Internazionale Milano,men,general,,transfer,,"Transfers allowed once, from 24 h before kickoff, via inter.it/cessione.",confirmed,published,I-2,I3;I4,https://inter.it/en/faq;https://inter.it/en/news/tickets-inter-monza-inter-napoli-serie-a-26-27,2026-09-23,"The derby overrides this - see the derby-home transfer row (I-16). Q-ids Q631 (Inter) and Q1543 (AC Milan) were written from memory: this session could not reach wikidata.org (egress 403) and no Italian club file exists yet, so nothing in the repo confirms them. Verify both before anything joins on them."
Q631,FC Internazionale Milano,men,general,,update-tracking,,"The 'Avvisami quando in vendita' button on each match page emails you when that match goes on sale. It may not alert for every individual phase, so also watch the 'Tickets and stadium' news section on inter.it.",confirmed,published,I-3,I3,https://inter.it/en/faq,2026-09-23,"This is what the updateTracking cell of club-tickets.csv rests on. The PDF's own caveat - the button may not alert per phase - is why both tokens are there. Q-ids Q631 (Inter) and Q1543 (AC Milan) were written from memory: this session could not reach wikidata.org (egress 403) and no Italian club file exists yet, so nothing in the repo confirms them. Verify both before anything joins on them."
Q631,FC Internazionale Milano,men,general,,fidelity-card,,"Siamo Noi card (Inter's fidelity card): EUR 15, valid 6 years, bought online at tdt.inter.it. The card number and a temporary QR code arrive by email immediately; the physical card ships in about 30 days (shipping fee outside Italy).",confirmed,published,I-4,I3;I5,https://inter.it/en/faq;https://inter.it/en/tessera_siamo_noi,2026-09-23,"I5 is an older cached version of the card page, per the PDF. Q-ids Q631 (Inter) and Q1543 (AC Milan) were written from memory: this session could not reach wikidata.org (egress 403) and no Italian club file exists yet, so nothing in the repo confirms them. Verify both before anything joins on them."
Q631,FC Internazionale Milano,men,derby-home,Q1543,presale-eligibility,2025-26,INTERISTA is the club's free loyalty programme. Early derby phases require INTERISTA registration and the card linked to the buyer's inter.it profile.,confirmed,published,I-5,I2;I6,https://inter.it/en/news/tickets-inter-milan-derby-serie-a-2025-2026;https://inter.it/it/biglietti/abbonamenti,2026-09-23,"Q-ids Q631 (Inter) and Q1543 (AC Milan) were written from memory: this session could not reach wikidata.org (egress 403) and no Italian club file exists yet, so nothing in the repo confirms them. Verify both before anything joins on them."
Q631,FC Internazionale Milano,men,general,,legal-framework,,"The 'Carta d'Identità dello Sportivo' does not appear to exist. The real scheme was the Tessera del Tifoso, converted into fidelity cards by the 2017 protocol, which restored open sales except for high-risk matches and reserved sectors.",confirmed,published,I-6,I7;I8,https://interno.gov.it/it/notizie/dalla-tessera-tifoso-alla-fidelity-card;https://ilpost.it/2022/10/22/tessera-del-tifoso-ordine-stadi/,2026-09-23,"Q-ids Q631 (Inter) and Q1543 (AC Milan) were written from memory: this session could not reach wikidata.org (egress 403) and no Italian club file exists yet, so nothing in the repo confirms them. Verify both before anything joins on them."
Q631,FC Internazionale Milano,men,general,,personalisation,,Named tickets and assigned seats remain mandatory.,confirmed,published,I-6,I7;I8,https://interno.gov.it/it/notizie/dalla-tessera-tifoso-alla-fidelity-card;https://ilpost.it/2022/10/22/tessera-del-tifoso-ordine-stadi/,2026-09-23,"The general rule in Italy, so it applies to the derby as well. Contrast the Nürnberg home derby, where no personalisation was found. Q-ids Q631 (Inter) and Q1543 (AC Milan) were written from memory: this session could not reach wikidata.org (egress 403) and no Italian club file exists yet, so nothing in the repo confirms them. Verify both before anything joins on them."
Q631,FC Internazionale Milano,men,derby-home,Q1543,residency-limits,2025-26,Residency or sales limits for high-risk matches are set by the Osservatorio Nazionale and local Questura/Prefettura. Inter's 2025/26 home-derby announcement contains no residency limit or card requirement for open sale.,confirmed,published,I-7,I2;I8,https://inter.it/en/news/tickets-inter-milan-derby-serie-a-2025-2026;https://ilpost.it/2022/10/22/tessera-del-tifoso-ordine-stadi/,2026-09-23,"Q-ids Q631 (Inter) and Q1543 (AC Milan) were written from memory: this session could not reach wikidata.org (egress 403) and no Italian club file exists yet, so nothing in the repo confirms them. Verify both before anything joins on them."
Q631,FC Internazionale Milano,men,general,,fidelity-card-foreign,,Whether a non-Italian can get a Siamo Noi card without an Italian tax code (codice fiscale) is not confirmed (signup site blocks automated access).,unverified,unknown,I-8,I8;I9,https://ilpost.it/2022/10/22/tessera-del-tifoso-ordine-stadi/;https://archivio.sscnapoli.it/client/render.aspx?content=1&root;=3448,2026-09-23,"The PDF adds that this is moot for Alexandru because he already holds a card. I9's URL is marked suspect in ticket-sources.csv. Q-ids Q631 (Inter) and Q1543 (AC Milan) were written from memory: this session could not reach wikidata.org (egress 403) and no Italian club file exists yet, so nothing in the repo confirms them. Verify both before anything joins on them."
Q631,FC Internazionale Milano,men,derby-home,Q1543,card-cutoff,2025-26,Last season the card had to be issued about a week before its phase opened. Keep the card valid.,confirmed,published,I-10,I2,https://inter.it/en/news/tickets-inter-milan-derby-serie-a-2025-2026,2026-09-23,"The 2025-26 cutoff date itself is in club-ticket-phases.csv, phase 5. Q-ids Q631 (Inter) and Q1543 (AC Milan) were written from memory: this session could not reach wikidata.org (egress 403) and no Italian club file exists yet, so nothing in the repo confirms them. Verify both before anything joins on them."
Q631,FC Internazionale Milano,men,derby-home,Q1543,purchase-limit,2025-26,In the Siamo Noi phase each card holder could buy up to 2 tickets 'for themselves and fellow Inter fans'. Put each attendee's own details on their ticket; tickets are named and ID is checked at entry. Re-check the cap when the 2026/27 rules are published.,confirmed,published,I-11,I2,https://inter.it/en/news/tickets-inter-milan-derby-serie-a-2025-2026,2026-09-23,"The PDF's reading: one account can cover Alexandru and his father. Q-ids Q631 (Inter) and Q1543 (AC Milan) were written from memory: this session could not reach wikidata.org (egress 403) and no Italian club file exists yet, so nothing in the repo confirms them. Verify both before anything joins on them."
Q631,FC Internazionale Milano,men,derby-home,Q1543,second-ticket-card,2025-26,Whether the second ticket must carry its own Siamo Noi number is not stated either way. Entering your own card number on your ticket (if the checkout offers it) removes the risk.,unverified,unknown,I-12,I2,https://inter.it/en/news/tickets-inter-milan-derby-serie-a-2025-2026,2026-09-23,"Q-ids Q631 (Inter) and Q1543 (AC Milan) were written from memory: this session could not reach wikidata.org (egress 403) and no Italian club file exists yet, so nothing in the repo confirms them. Verify both before anything joins on them."
Q631,FC Internazionale Milano,men,general,,minors,,An inter.it profile can link cards the account holder owns plus cards of minors they are responsible for. An adult links only their own card.,confirmed,published,I-13,I3,https://inter.it/en/faq,2026-09-23,"This is what minorEligibility via-guardian-account rests on. Whether a minor can hold their own inter.it account and buy is not stated. Q-ids Q631 (Inter) and Q1543 (AC Milan) were written from memory: this session could not reach wikidata.org (egress 403) and no Italian club file exists yet, so nothing in the repo confirms them. Verify both before anything joins on them."
Q631,FC Internazionale Milano,men,derby-home,Q1543,away-end,2025-26,Second Tier Blue: the whole sector goes to Milan fans at Inter's home derby; sold by AC Milan (EUR 49 last season).,confirmed,published,I-14,I2;I4,https://inter.it/en/news/tickets-inter-milan-derby-serie-a-2025-2026;https://inter.it/en/news/tickets-inter-monza-inter-napoli-serie-a-26-27,2026-09-23,"The EUR 49 is AC Milan's price for its own fans in Inter's ground, so it is not an Inter price row in club-ticket-prices.csv. Q-ids Q631 (Inter) and Q1543 (AC Milan) were written from memory: this session could not reach wikidata.org (egress 403) and no Italian club file exists yet, so nothing in the repo confirms them. Verify both before anything joins on them."
Q631,FC Internazionale Milano,men,general,,sector-rules,,"Second Tier Green (Curva Nord): tickets can never be transferred, even for a fee. From 2026/27 it has a mandatory exclusive entrance (Entrance 2).",confirmed,published,I-15,I3;I10,https://inter.it/en/faq;https://inter.it/en/news/entrances-san-siro-how-to-arrive-26-27,2026-09-23,"Q-ids Q631 (Inter) and Q1543 (AC Milan) were written from memory: this session could not reach wikidata.org (egress 403) and no Italian club file exists yet, so nothing in the repo confirms them. Verify both before anything joins on them."
Q631,FC Internazionale Milano,men,derby-home,Q1543,transfer,2025-26,Derby: season-ticket holders cannot transfer their seat to another person; single PLUS tickets could change user once from 48 h before kickoff (last season).,confirmed,published,I-16,I2,https://inter.it/en/news/tickets-inter-milan-derby-serie-a-2025-2026,2026-09-23,"Overrides the general transfer row (24 h, once) for the derby. Q-ids Q631 (Inter) and Q1543 (AC Milan) were written from memory: this session could not reach wikidata.org (egress 403) and no Italian club file exists yet, so nothing in the repo confirms them. Verify both before anything joins on them."
Q631,FC Internazionale Milano,men,derby-away,Q1543,away-allocation,2025-26,"Away leg (Milan home): Inter's allocation in Second Tier Green was loaded onto Siamo Noi cards, one ticket per holder for themselves, ID required, no user change. Two people = two accounts.",confirmed,published,I-17,I11,https://inter.it/it/notizie/biglietti-derby-settore-ospiti-inter-2026;https://fcinter1908.it,2026-09-23,"Source dated Feb 2026, so the 2025-26 away leg. The next away leg is Milan's home game on 1 Nov 2026 (per the PDF's fixture table); the PDF has no sale dates for it. Q-ids Q631 (Inter) and Q1543 (AC Milan) were written from memory: this session could not reach wikidata.org (egress 403) and no Italian club file exists yet, so nothing in the repo confirms them. Verify both before anything joins on them."
Q631,FC Internazionale Milano,men,derby-home,Q1543,price-list,,No official derby price list has been published for 2025/26 or 2026/27. Prices come from fan/press sites.,unverified,unknown,I-18,,,2026-09-23,"Why every Inter row in club-ticket-prices.csv is confidence unverified. Q-ids Q631 (Inter) and Q1543 (AC Milan) were written from memory: this session could not reach wikidata.org (egress 403) and no Italian club file exists yet, so nothing in the repo confirms them. Verify both before anything joins on them."
Q631,FC Internazionale Milano,men,general,,resale-platform,,Official resale: season-ticket holders can list seats for the four big matches (Milan included). Anyone can buy at the current sale price. Opens no later than 72 h before kickoff.,confirmed,published,I-21,I3;I6,https://inter.it/en/faq;https://inter.it/it/biglietti/abbonamenti,2026-09-23,"The timing is also a row in club-ticket-windows.csv (season-ticket-resale). The PDF calls this the late-stage route. Q-ids Q631 (Inter) and Q1543 (AC Milan) were written from memory: this session could not reach wikidata.org (egress 403) and no Italian club file exists yet, so nothing in the repo confirms them. Verify both before anything joins on them."
Q631,FC Internazionale Milano,men,general,,unofficial-resale,,"Inter supplies no resale platforms and names inter.it as the only authorised channel. Because tickets are named and derby season-ticket transfers are banned, a viagogo ticket may carry someone else's name with no legal fix.",confirmed,published,I-22,I2;I4,https://inter.it/en/news/tickets-inter-milan-derby-serie-a-2025-2026;https://inter.it/en/news/tickets-inter-monza-inter-napoli-serie-a-26-27,2026-09-23,"Q-ids Q631 (Inter) and Q1543 (AC Milan) were written from memory: this session could not reach wikidata.org (egress 403) and no Italian club file exists yet, so nothing in the repo confirms them. Verify both before anything joins on them."
Q631,FC Internazionale Milano,men,derby-home,Q1543,resale-prices,,No credible data on unofficial resale prices. Some ticket guides carry viagogo affiliate links.,unverified,unknown,I-23,I16,https://calciomercato.com/liste/…/blte955c1dd0c30d4ce,2026-09-23,"Q-ids Q631 (Inter) and Q1543 (AC Milan) were written from memory: this session could not reach wikidata.org (egress 403) and no Italian club file exists yet, so nothing in the repo confirms them. Verify both before anything joins on them."
Q631,FC Internazionale Milano,men,general,,entrances,2026-27,San Siro entrances changed for 2026/27 due to new-stadium construction (entrances 7-10 closed). No stated capacity cut.,confirmed,published,I-24,I10,https://inter.it/en/news/entrances-san-siro-how-to-arrive-26-27,2026-09-23,"Q-ids Q631 (Inter) and Q1543 (AC Milan) were written from memory: this session could not reach wikidata.org (egress 403) and no Italian club file exists yet, so nothing in the repo confirms them. Verify both before anything joins on them."
Q631,FC Internazionale Milano,men,derby-home,Q1543,source-caveat,2024-25,"goal.com dates the 2024/25 sale opening to 29 Sep 2024, after that match was played. Cross-check goal.com dates.",confirmed,published,I-25,I15,https://goal.com/it/liste/…/blt0d82bbc5e7a9c9e7,2026-09-23,"A warning about a source, recorded because two Inter rows rest on goal.com (I12, I15). Q-ids Q631 (Inter) and Q1543 (AC Milan) were written from memory: this session could not reach wikidata.org (egress 403) and no Italian club file exists yet, so nothing in the repo confirms them. Verify both before anything joins on them."
